device_id,phase_type,box_no
GP7627596,1 Phase,2970
GP7627597,1 Phase,2970
GP7627598,1 Phase,2970
GP7627601,1 Phase,2970
GP7627603,1 Phase,2971
GP7627604,1 Phase,2971
GP7627606,1 Phase,2971
GP7627608,1 Phase,2971
GP7627611,1 Phase,2972
GP7627613,1 Phase,2972
GP7627617,1 Phase,2972
GP7627619,1 Phase,2973
GP7627621,1 Phase,2973
GP7627622,1 Phase,2973
GP7627624,1 Phase,2973
GP7627625,1 Phase,2973
GP7627626,1 Phase,2973
GP7627627,1 Phase,2974
GP7627629,1 Phase,2974
GP7627630,1 Phase,2974
GP7627632,1 Phase,2974
GP7627635,1 Phase,2975
GP7627639,1 Phase,2975
GP7627643,1 Phase,2976
GP7627644,1 Phase,2976
GP7627645,1 Phase,2976
GP7627650,1 Phase,2976
GP7627651,1 Phase,2977
GP7627653,1 Phase,2977
GP7627657,1 Phase,2977
GP7627658,1 Phase,2977
GP7627661,1 Phase,2978
GP7627663,1 Phase,2978
GP7627664,1 Phase,2978
GP7627665,1 Phase,2978
GP7627666,1 Phase,2978
GP7627667,1 Phase,2979
GP7627668,1 Phase,2979
GP7627670,1 Phase,2979
GP7627671,1 Phase,2979
GP7627674,1 Phase,2979
GP7627675,1 Phase,2980
GP7627677,1 Phase,2980
GP7627678,1 Phase,2980
GP7627684,1 Phase,2981
GP7627685,1 Phase,2981
GP7627686,1 Phase,2981
GP7627688,1 Phase,2981
GP7627689,1 Phase,2981
GP7627695,1 Phase,2982
GP7627696,1 Phase,2982
GP7627697,1 Phase,2982
GP7627698,1 Phase,2982
GP7627699,1 Phase,2983
GP7627701,1 Phase,2983
GP7627702,1 Phase,2983
GP7627703,1 Phase,2983
GP7627704,1 Phase,2983
GP7627705,1 Phase,2983
GP7627707,1 Phase,2984
GP7627710,1 Phase,2984
GP7627714,1 Phase,2984
GP7627717,1 Phase,2985
GP7627718,1 Phase,2985
GP7627721,1 Phase,2985
GP7627726,1 Phase,2986
GP7627727,1 Phase,2986
GP7627729,1 Phase,2986
GP7627733,1 Phase,2987
